time,seconds_elapsed,y,z,x,longitude,latitude
1.72E+18,145.5320581,1.569999933,9.619999886,-0.141249999,90.36805945,23.73146647
1.72E+18,145.542312,2.143749952,9.619999886,0.202500001,90.36805945,23.73146647
1.72E+18,145.5525659,2.411249876,9.734999657,0.393749982,90.36805945,23.73146647
1.72E+18,145.5628201,2.448750019,9.773749352,0.546249986,90.36805945,23.73146647
1.72E+18,145.573074,2.563750029,9.697500229,0.431249976,90.36805945,23.73146647
1.72E+18,145.5833279,2.526249886,9.811249733,0.278750002,90.36805945,23.73146647
1.72E+18,145.593582,2.487499952,9.887499809,0.049999997,90.36805945,23.73146647
1.72E+18,145.6038359,2.411249876,10.30875015,0.049999997,90.36805945,23.73146647
1.72E+18,145.6140901,2.563750029,10.42249966,0.087499999,90.36805945,23.73146647
1.72E+18,145.624344,2.602499962,10.65250015,0.01125,90.36805945,23.73146647
1.72E+18,145.6345979,2.526249886,10.76624966,0.049999997,90.36805945,23.73146647
1.72E+18,145.6448511,2.526249886,10.57625008,-0.179999992,90.36805945,23.73146647
1.72E+18,145.655105,2.563750029,10.6137495,0.01125,90.36805945,23.73146647
1.72E+18,145.6653589,2.448750019,10.53749943,0.126249999,90.36805945,23.73146647
1.72E+18,145.675613,2.487499952,10.65250015,0.202500001,90.36805945,23.73146647
1.72E+18,145.6858669,2.220000029,11.37874985,0.049999997,90.36805945,23.73146647
1.72E+18,145.6961208,1.761250019,11.75999928,-0.293749988,90.36805945,23.73146647
1.72E+18,145.706375,1.493749976,11.95125008,-0.867500007,90.36805945,23.73146647
1.72E+18,145.7166292,1.112499952,11.98999977,-1.784999967,90.36805945,23.73146647
1.72E+18,145.7268831,1.379999995,11.79874992,-2.05250001,90.36805945,23.73146647
1.72E+18,145.737137,1.799999952,11.56874943,-2.28125,90.36805945,23.73146647
1.72E+18,145.7473911,1.761250019,11.37874985,-1.82249999,90.36805945,23.73146647
1.72E+18,145.7576438,1.493749976,11.56874943,-1.173749924,90.36805945,23.73146647
1.72E+18,145.7678979,1.149999976,12.33374977,-0.828749955,90.36805945,23.73146647
1.72E+18,145.7781521,0.806249976,13.32749939,-0.676249981,90.36805945,23.73146647
1.72E+18,145.788406,-0.111249998,14.43499947,-1.173749924,90.36805945,23.73146647
1.72E+18,145.7986599,-0.492499977,14.47375011,-1.59375,90.36805945,23.73146647
1.72E+18,145.8089141,-0.569999993,13.70874977,-1.784999967,90.36805945,23.73146647
1.72E+18,145.819168,-0.111249998,12.10374928,-1.25,90.36805945,23.73146647
1.72E+18,145.8294219,0.0425,11.75999928,-0.714999974,90.36805945,23.73146647
1.72E+18,145.839676,0.310000002,11.3012495,-0.064999998,90.36805945,23.73146647
1.72E+18,145.8499302,0.577499986,10.46124935,0.393749982,90.36805945,23.73146647
1.72E+18,145.8601829,0.806249976,9.31499958,0.508749962,90.36805945,23.73146647
1.72E+18,145.870437,0.653750002,8.894999504,0.393749982,90.36805945,23.73146647
1.72E+18,145.8806912,0.386249989,8.550000191,0.163749993,90.36805945,23.73146647
1.72E+18,145.8909448,0.232500002,8.321249962,0.202500001,90.36805945,23.73146647
1.72E+18,145.901199,0.232500002,8.817500114,0.431249976,90.36805945,23.73146647
1.72E+18,145.9114531,0.00375,9.238749504,0.317499995,90.36805945,23.73146647
1.72E+18,145.9217068,-0.148749992,9.543749809,0.278750002,90.36805945,23.73146647
1.72E+18,145.9319609,-0.148749992,9.543749809,0.431249976,90.36805945,23.73146647
1.72E+18,145.9422151,-0.035,9.238749504,0.431249976,90.36805945,23.73146647
1.72E+18,145.9524692,0.0425,8.817500114,0.317499995,90.36805945,23.73146647
1.72E+18,145.9627229,-0.072499998,8.206250191,0.087499999,90.36805945,23.73146647
1.72E+18,145.9729761,-0.072499998,8.01499939,-0.064999998,90.36805945,23.73146647
1.72E+18,145.98323,0.079999998,7.977499962,-0.179999992,90.36805945,23.73146647
1.72E+18,145.9934839,0.232500002,7.862499714,-0.332499981,90.36805945,23.73146647
1.72E+18,146.003738,0.5,7.403749943,-0.523750007,90.36804477,23.73147653
1.72E+18,146.0139919,0.538749993,7.403749943,-0.676249981,90.36804477,23.73147653
1.72E+18,146.0242458,0.538749993,7.671249866,-0.943749964,90.36804477,23.73147653
1.72E+18,146.0345,0.347499996,8.282500267,-1.326249957,90.36804477,23.73147653
1.72E+18,146.0447542,0.347499996,8.130000114,-1.402499914,90.36804477,23.73147653
1.72E+18,146.0550078,0.462499976,7.862499714,-1.326249957,90.36804477,23.73147653
1.72E+18,146.065262,0.882499993,7.93874979,-1.13499999,90.36804477,23.73147653
1.72E+18,146.0755161,0.997500002,8.01499939,-0.943749964,90.36804477,23.73147653
1.72E+18,146.085769,1.112499952,8.397500038,-0.714999974,90.36804477,23.73147653
1.72E+18,146.0960229,1.188750029,9.047499657,-0.752499998,90.36804477,23.73147653
1.72E+18,146.1062771,1.073750019,10.11749935,-0.828749955,90.36804477,23.73147653
1.72E+18,146.116531,0.921249986,10.72875023,-0.867500007,90.36804477,23.73147653
1.72E+18,146.1267849,0.921249986,11.1875,-0.79124999,90.36804477,23.73147653
