,time,x,y,z,Latitude,Longitude
420,4.200495313,2.611299992,1.149799943,-5.145299911,23.7677104,90.3548039
421,4.210457813,2.69749999,0.523599982,-5.348199844,23.7677183,90.3548221
422,4.220454688,2.462599993,-0.394400001,-3.147799969,23.7677245,90.3548432
423,4.230496875,1.779199958,-1.030399919,-0.352299988,23.7677162,90.3548653
424,4.240454688,1.12440002,-1.005499959,1.508299947,23.7677297,90.3548918
425,4.250454688,0.820299983,-0.793599963,1.370599985,23.7677134,90.3549092
426,4.260504688,0.513799965,-0.848699987,-0.888399959,23.7677444,90.3550195
427,4.270454688,0.385800004,-1.131099939,-3.557899952,23.7677383,90.3550473
428,4.28045625,-0.299199998,-0.890599966,-5.369499683,23.7677377,90.3550698
429,4.290451563,-1.716599941,-0.870099962,-6.374799728,23.7677481,90.3550893
430,4.300496875,-3.58039999,-1.079399943,-5.724499702,23.7677361,90.3551064
431,4.310459375,-4.842799664,-1.633999944,-3.801499844,23.7677398,90.3551389
432,4.320451563,-5.707299709,-2.104799986,-1.132300019,23.7677383,90.3551513
433,4.330454688,-5.241600037,-2.194499969,0.812900007,23.7677548,90.3551707
434,4.340453125,-3.866699934,-1.089299917,2.386499882,23.7677444,90.3551865
435,4.350496875,-2.516599894,-0.060099997,2.558799982,23.7677475,90.3552147
436,4.360460938,-1.444000006,-0.922199965,-0.519800007,23.7677112,90.3548045
437,4.370453125,-2.009000063,-2.24029994,-3.01549983,23.7677191,90.3548234
438,4.380454688,-2.396299839,-3.330499887,-3.254699945,23.7677252,90.3548448
439,4.390453125,-1.771399975,-4.058899879,-2.894699812,23.7677168,90.3548662
440,4.400453125,-1.139799953,-4.169399738,-2.55340004,23.7677291,90.3548906
441,4.410464063,-0.754199982,-3.996599913,-3.200999975,23.7677127,90.3549085
442,4.420454688,-0.590799987,-4.110499859,-4.002500057,23.7677435,90.3550187
443,4.430496875,-0.679899991,-4.282700062,-5.769599915,23.7677374,90.3550465
444,4.440454688,-0.781099975,-4.30739975,-7.286499977,23.7677288,90.3550687
445,4.450451563,-0.532199979,-4.348499775,-7.848899841,23.7677472,90.3550889
446,4.460467188,-0.636799991,-3.859999895,-6.414099693,23.7677354,90.3551056
447,4.470495313,-1.273899913,-2.475600004,-2.718199968,23.7677394,90.3551375
448,4.480454688,-0.867500007,-1.73029995,-0.139899999,23.7677371,90.3551504
449,4.490454688,0.224099994,-2.570600033,-1.407099962,23.7677543,90.3551712
450,4.500453125,0.3486,-3.519999981,-3.0151999,23.7677439,90.3551858
451,4.510507813,-0.414199978,-3.512499809,-3.868599892,23.7677467,90.3552139
452,4.520454688,-0.810299993,-2.776199818,-2.996299982,23.7677105,90.3548052
